ensembl,Pri_1,Pri_2,Pri_3,Met_1,Met_2,Met_3,Pri_1.1,Pri_2.1,Pri_3.1,Met_1.1,Met_2.1,Met_3.1,Met_v_Pri_baseMean,Met_v_Pri_log2FoldChange,Met_v_Pri_lfcSE,Met_v_Pri_stat,Met_v_Pri_pvalue,Met_v_Pri_padj,symbol,entrez,GENENAME,mouse_symbol
ENSG00000138375,3,0,0,0,0,305,0.009606943,0,0,0,0,0.745115807,17.72768404,2.013595513,3.522059377,0.571709701,NA,NA,SMARCAL1,50485,SWI/SNF related,Smarcal1
ENSG00000153147,11,256,2,0,0,693,0.036644066,0.701197157,0.006162866,0,0,1.76118181,86.55881271,-0.774900006,2.97617016,-0.260368179,0.794579786,0.866609944,SMARCA5,8467,SWI/SNF related,Smarca5
ENSG00000173473,0,505,7,390,246,409,0,0.988575703,0.015415908,1.249289187,0.4377851,0.742869687,137.472696,-0.640584314,2.415756101,-0.265169283,0.790879057,0.863833459,SMARCC1,6599,SWI/SNF related,Smarcc1
ENSG00000139613,0,1301,1,300,114,201,0,1.865227968,0.001612899,0.703810427,0.148582201,0.267375405,235.6453154,-2.598510774,2.604617407,-0.997655459,NA,NA,SMARCC2,6601,SWI/SNF related,Smarcc2
ENSG00000161217,0,13,942,1,1,1,0,0.026539409,2.163472237,0.003340625,0.001855903,0.001894169,731.2489568,-12.27168523,2.801909232,-4.379758305,NA,NA,PCYT1A,5130,phosphate cytidylyltransferase 1,Pcyt1a
ENSG00000168522,921,734,0,626,229,547,1.468659757,0.962380545,0,1.34308942,0.272956583,0.665439959,1310.92766,-4.035172642,2.553656139,-1.580155049,0.114071363,0.234184532,FNTA,2339,farnesyltransferase,Fnta
ENSG00000084774,0,0,0,0,0,180,0,0,0,0,0,0.321078125,8.30547892,4.71147612,3.768799806,1.250126396,NA,NA,CAD,790,carbamoyl-phosphate synthetase 2,Cad
ENSG00000100083,255,1,0,0,0,0,0.499808543,0.001611583,0,0,0,0,310.7882946,-25.30426983,3.504341649,-7.220834142,NA,NA,GGA1,26088,golgi associated,Gga1
ENSG00000103365,0,1,624,1,111,378,0,0.001562766,1.097061884,0.002557254,0.157697318,0.548095945,504.6819217,-4.485319813,2.878623174,-1.558147608,NA,NA,GGA2,23062,golgi associated,Gga2
ENSG00000125447,39,131,1,0,0,1,0.050759846,0.14018973,0.001203919,0,0,0.000992923,68.61068321,-10.36547615,2.763285339,-3.751142165,0.000176031,0.010367531,GGA3,23163,golgi associated,Gga3
ENSG00000102230,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,PCYT1B,9468,phosphate cytidylyltransferase 1,Pcyt1b
ENSG00000257365,0,0,0,0,8,151,0,0,0,0,0.023285784,0.448581418,7.259763426,4.525351906,3.363941567,1.345252828,NA,NA,FNTB,2342,farnesyltransferase,Fntb
ENSG00000253729,3,1417,3,727,1654,1854,0.004394237,1.706558949,0.004064669,1.432734356,1.810899148,2.071724249,419.8374968,-0.215406391,2.281203423,-0.094426647,NA,NA,PRKDC,5591,protein kinase,Prkdc
ENSG00000136698,1,0,0,0,0,0,0.008939185,0,0,0,0,0,1.218170474,-4.953396542,4.035972323,-1.227311821,0.219705414,NA,CFC1,55997,cripto,Cfc1
ENSG00000125458,0,1314,1,0,228,51,0,3.663108856,0.003136223,0,0.57782539,0.131915373,214.8987469,-4.257379871,2.949848933,-1.443253525,NA,NA,NT5C,30833,5',Nt5c
ENSG00000204257,0,0,0,1,0,0,0,0,0,0.006283329,0,0,0.066681983,-2.613322644,4.064761091,-0.642921585,0.520274983,NA,HLA-DMA,3108,major histocompatibility complex,H2-DMa
ENSG00000242574,0,0,0,1,0,0,0,0,0,0.004139295,0,0,0.066681983,-2.613322644,4.064761091,-0.642921585,0.520274983,NA,HLA-DMB,3109,major histocompatibility complex,H2-DMb1
ENSG00000204252,0,0,0,0,1,0,0,0,0,0,0.00377988,0,0.03654868,-2.613322644,4.064761091,-0.642921585,0.520274983,NA,HLA-DOA,3111,major histocompatibility complex,H2-Oa
ENSG00000241106,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,HLA-DOB,3112,major histocompatibility complex,H2-Ob
ENSG00000119720,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NRDE2,55051,NRDE-2,Nrde2
ENSG00000204287,93,3,1696,3,2,1101,1.663194666,0.044113407,28.0561268,0.072185575,0.026735398,15.02129722,1477.495282,-4.803516445,2.707289437,-1.774289952,0.076015202,0.186642631,HLA-DRA,3122,major histocompatibility complex,H2-Ea-ps
ENSG00000198502,2,2,0,2,7,22,0.046611463,0.038324981,0,0.062713605,0.121943121,0.391151868,4.150307333,-0.834865313,2.554295584,-0.326847573,0.743783175,NA,HLA-DRB5,3127,major histocompatibility complex,H2-Eb1
ENSG00000204592,2027,2755,2063,889,7113,3456,14.05840928,15.71061723,13.23498321,8.295703575,36.87497783,18.28589212,4971.203052,-3.230179878,2.023393289,-1.596417214,0.110395675,0.22891833,HLA-E,3133,major histocompatibility complex,H2-T23
ENSG00000165124,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SVEP1,79987,sushi,Svep1
ENSG00000204642,3,38,123,19,501,1,0.009313423,0.096997573,0.353211558,0.079361651,1.16257857,0.002368362,124.361045,-2.415113838,2.435803895,-0.991505861,NA,NA,HLA-F,3134,major histocompatibility complex,Gm7030
ENSG00000180209,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,MYLPF,29895,myosin light chain,Mylpf
ENSG00000204632,0,0,0,1,1,0,0,0,0,0.011350064,0.006305591,0,0.103230663,-1.64312021,4.018224881,-0.408916937,0.682600619,NA,HLA-G,3135,major histocompatibility complex,H2-M3
ENSG00000127578,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,WFIKKN1,117166,WAP,Wfikkn1
ENSG00000173714,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,WFIKKN2,124857,WAP,Wfikkn2
ENSG00000205309,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NT5M,56953,5',Nt5m
ENSG00000159131,1,1416,2,442,862,864,0.002064339,2.40344106,0.003819027,1.227643623,1.330101563,1.36067605,322.8413004,-1.14108319,2.357242469,-0.484075442,NA,NA,GART,2618,phosphoribosylglycinamide formyltransferase,Gart
ENSG00000151445,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,VIPAS39,63894,VPS33B interacting protein,Vipas39
ENSG00000163104,1,0,0,230,113,13,0.002107754,0,0,0.652253906,0.178030655,0.0209037,21.28486755,4.697257287,2.733038922,1.718693886,0.085670126,0.19671596,SMARCAD1,56916,SWI/SNF-related,Smarcad1
ENSG00000132680,0,0,0,83,1,0,0,0,0,0.300191727,0.002009315,0,5.571153251,4.138863024,3.484316426,1.187855096,NA,NA,KHDC4,22889,KH domain containing 4,2810403A07Rik
ENSG00000124126,0,1,0,2,1,0,0,0.002411098,0,0.007890867,0.002191908,0,0.324736429,-1.610504596,3.951171525,-0.407601792,0.683566048,NA,PREX1,57580,phosphatidylinositol-3,Prex1
ENSG00000046889,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,PREX2,80243,phosphatidylinositol-3,Prex2
ENSG00000148841,777,0,0,0,745,0,1.497458651,0,0,0,1.073214713,0,973.7472252,-5.118954316,3.725679894,-1.373965145,NA,NA,ITPRIP,85450,inositol 1,Itprip
ENSG00000150995,0,1,0,0,283,228,0,0.001113893,0,0,0.286574211,0.23563998,21.01837366,5.356939285,3.02323331,1.771923876,0.076407194,0.186978352,ITPR1,3708,inositol 1,Itpr1
ENSG00000123104,1,1,0,1,0,0,0.001689599,0.001389225,0,0.002273278,0,0,1.43967624,-4.327302744,3.461800028,-1.250015226,0.211293985,NA,ITPR2,3709,inositol 1,Itpr2
ENSG00000096433,0,113,1,595,133,1,0,0.247111258,0.002460178,2.129172625,0.264407058,0.002029013,62.85196089,1.26271698,2.662162009,0.474320111,0.635271652,0.745975387,ITPR3,3710,inositol 1,Itpr3
ENSG00000119523,1951,36,4,731,1078,104,8.850849379,0.134282492,0.016785311,4.46184098,3.655467834,0.359932452,2478.262889,-4.68152143,2.497433938,-1.874532639,NA,NA,ALG2,85365,ALG2 alpha-1,Alg2
ENSG00000184389,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,A3GALT2,127550,alpha 1,A3galt2
ENSG00000128274,0,0,1,0,454,0,0,0,0.004930628,0,1.808893063,0,17.36707851,4.492462375,3.515208101,1.278007516,NA,NA,A4GALT,53947,alpha 1,A4galt
ENSG00000118017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,A4GNT,51146,alpha-1,A4gnt
ENSG00000124608,0,0,1,0,0,0,0,0,0.005919118,0,0,0,0.773977575,-4.953396542,4.035972323,-1.227311821,0.219705414,NA,AARS2,57505,alanyl-tRNA synthetase 2,Aars2
ENSG00000097007,0,0,2740,382,0,210,0,0,8.732389422,1.770815002,0,0.551975853,2155.860798,-5.914483033,3.436928536,-1.720862965,NA,NA,ABL1,25,ABL proto-oncogene 1,Abl1
ENSG00000143322,50,4,0,0,0,556,0.055713026,0.003664679,0,0,0,0.472630259,87.18252038,-1.257619781,3.330781657,-0.377574969,NA,NA,ABL2,27,ABL proto-oncogene 2,Abl2
ENSG00000175164,1,0,1,0,0,0,0.003387383,0,0.003133329,0,0,0,1.992148049,-6.135376736,3.610290525,-1.699413577,0.089241286,NA,ABO,28,ABO,Abo
ENSG00000163322,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ABRAXAS1,84142,abraxas 1,Abraxas1
ENSG00000165660,1,1,2143,1,731,787,0.00981458,0.008069765,19.45519564,0.013205071,5.36272591,5.892592605,1723.104104,-4.717375978,2.789483322,-1.691128941,NA,NA,ABRAXAS2,23172,abraxas 2,Abraxas2
ENSG00000072818,1,2,290,3,2,0,0.002536295,0.004170796,0.680361098,0.010237408,0.003791633,0,226.254458,-9.717071788,2.719872464,-3.572620378,NA,NA,ACAP1,9744,ArfGAP with coiled-coil,Acap1
ENSG00000114331,606,133,0,0,125,342,1.109434196,0.200202628,0,0,0.171054877,0.477655756,779.1518654,-5.220046453,2.949711468,-1.76968036,NA,NA,ACAP2,23527,ArfGAP with coiled-coil,Acap2
ENSG00000131584,0,0,0,0,1,0,0,0,0,0,0.001312392,0,0.03654868,-2.613322644,4.064761091,-0.642921585,0.520274983,NA,ACAP3,116983,ArfGAP with coiled-coil,Acap3
ENSG00000087008,1,1,1,0,0,1,0.004368525,0.003591898,0.004040885,0,0,0.003332689,2.193113382,-5.275614843,3.070066009,-1.718404369,0.085722884,NA,ACOX3,8310,acyl-CoA oxidase 3,Acox3
ENSG00000134575,0,2,0,24,0,265,0,0.004891064,0,0.096042714,0,0.601298347,14.13752579,4.361797681,3.088611548,1.412219573,0.157885319,NA,ACP2,53,acid phosphatase 2,Acp2
ENSG00000102575,1,0,0,0,0,0,0.003607521,0,0,0,0,0,1.218170474,-4.953396542,4.035972323,-1.227311821,0.219705414,NA,ACP5,54,acid phosphatase 5,Acp5
ENSG00000162836,0,2,1,2,1,34,0,0.002821306,0.001586985,0.004616683,0.001282412,0.044501015,2.822350472,0.509987874,2.740972975,0.186060891,0.852397011,NA,ACP6,51205,acid phosphatase 6,Acp6
ENSG00000183760,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ACP7,390928,acid phosphatase 7,Acp7
ENSG00000014257,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ACPP,55,acid phosphatase,Acpp
ENSG00000143632,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ACTA1,58,actin alpha 1,Acta1
ENSG00000107796,0,0,0,115,0,57,0,0,0,1.086985815,0,0.305486376,10.29849634,5.030126858,3.302950999,1.522919008,0.12777897,NA,ACTA2,59,actin alpha 2,Acta2
ENSG00000163017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ACTG2,72,actin gamma 2,Actg2
ENSG00000248144,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ADH1C,126,alcohol dehydrogenase 1C (class I),Adh1
ENSG00000198099,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ADH4,127,alcohol dehydrogenase 4 (class II),Adh4
ENSG00000197894,2,134,1,253,949,637,0.006759172,0.372355265,0.003126117,1.150411043,2.397321212,1.642339387,104.904112,1.733933302,2.158558747,0.803282887,0.421811247,0.560478759,ADH5,128,alcohol dehydrogenase 5 (class III),Adh5
ENSG00000196344,0,28,3378,0,932,1,0,0.151956095,20.62396961,0,4.598151957,0.005035364,2652.940825,-6.26233882,3.246528552,-1.92893385,NA,NA,ADH7,131,alcohol dehydrogenase 7 (class IV),Adh7
ENSG00000181092,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ADIPOQ,9370,adiponectin,Adipoq
ENSG00000170222,0,214,1,0,0,64,0,1.100526931,0.00578548,0,0,0.305377933,36.85932636,-3.530175054,3.150494136,-1.12051472,NA,NA,ADPRM,56985,ADP-ribose/CDP-alcohol diphosphatase,Adprm
ENSG00000200215,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SNORD113-6,767566,small nucleolar RNA,AF357425
ENSG00000130396,0,318,0,0,896,182,0,0.246066939,0,0,0.630291531,0.130667719,90.37934279,-0.26559646,3.146456142,-0.084411302,0.932729422,0.960794719,AFDN,4301,afadin,Afdn
ENSG00000157985,84,135,0,0,0,74,0.110242621,0.145677749,0,0,0,0.074090402,126.6420052,-5.171214127,3.123842736,-1.655401556,0.097843071,0.213099825,AGAP1,116987,ArfGAP with GTPase domain,Agap1
ENSG00000135439,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,AGAP2,116986,ArfGAP with GTPase domain,Agap2
ENSG00000133612,0,142,0,0,0,0,0,0.164929421,0,0,0,0,21.98497722,-21.82589651,3.573659402,-6.107436118,NA,NA,AGAP3,116988,ArfGAP with GTPase domain,Agap3
ENSG00000106541,45,4928,2523,1607,7446,3608,0.316890884,28.53363768,16.43448942,15.22587078,39.19374744,19.3831228,3316.312828,-2.343829513,2.106193058,-1.11282748,0.265782531,0.406352287,AGR2,10551,anterior gradient 2,Agr2
ENSG00000173467,0,0,1,0,0,0,0,0,0.017456832,0,0,0,0.773977575,-4.953396542,4.035972323,-1.227311821,0.219705414,NA,AGR3,155465,anterior gradient 3,Agr3
ENSG00000186063,1,1,0,125,0,0,0.003344177,0.002749657,0,0.562429839,0,0,9.708242105,2.998414405,3.278077953,0.91468673,NA,NA,AIDA,64853,axin interactor,Aida
ENSG00000163295,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ALPI,248,alkaline phosphatase,Akp3
ENSG00000149925,48,526,1079,3765,6398,6605,0.089222095,0.803907597,1.855215464,9.415972665,8.889389569,9.366212045,1764.692354,-0.304189715,2.087876872,-0.145693321,0.884163494,0.928932051,ALDOA,226,aldolase,Aldoa
ENSG00000136872,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ALDOB,229,aldolase,Aldob
ENSG00000109107,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ALDOC,230,aldolase,Aldoc
ENSG00000139133,0,1,0,0,2,0,0,0.003393498,0,0,0.006169996,0,0.227921144,-2.658292553,4.02031778,-0.661214536,0.508474741,NA,ALG10,84920,ALG10 alpha-1,Alg10b
ENSG00000253710,1,18,0,95,260,189,0.002791636,0.041316217,0,0.356821873,0.542536181,0.402513659,28.56319672,2.552668696,2.298872686,1.110400203,0.266826611,0.407438609,ALG11,440138,ALG11 alpha-1,Alg11
ENSG00000182858,1,0,1,78,185,0,0.004887687,0,0.00452111,0.512940507,0.675883147,0,13.95484859,2.716211682,2.871163431,0.946031721,0.344132407,NA,ALG12,79087,ALG12 alpha-1,Alg12
ENSG00000214160,0,606,1,215,1,900,0,1.551284061,0.002879859,0.900610458,0.002327159,2.137627316,150.4977598,-0.763581523,2.760141527,-0.276645786,0.782052104,0.857911536,ALG3,10195,ALG3 alpha-1,Alg3
ENSG00000088035,0,338,0,1,1,118,0,1.021264105,0,0.004944259,0.00274681,0.330806588,57.87837224,-3.244433955,2.971775549,-1.091749327,NA,NA,ALG6,29929,ALG6 alpha-1,Alg6
ENSG00000159063,716,0,2,1625,248,985,2.242480687,0,0.005794119,6.847595292,0.580582438,2.353487549,1036.629736,-2.423073394,2.787123915,-0.869381294,0.384638611,0.527739851,ALG8,79053,ALG8 alpha-1,Alg8
ENSG00000086848,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ALG9,79796,ALG9 alpha-1,Alg9
ENSG00000100601,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ALKBH1,8846,alkB homolog 1,Alkbh1
ENSG00000166199,1,0,1,0,977,870,0.004164098,0,0.003851791,0,3.040969561,2.763759333,77.84335698,5.377887631,2.894258978,1.858122467,0.063151625,0.1729867,ALKBH3,221120,alkB homolog 3,Alkbh3
ENSG00000160993,0,0,0,193,0,0,0,0,0,1.878627069,0,0,12.86962268,5.342371327,3.774998134,1.415198402,NA,NA,ALKBH4,54784,alkB homolog 4,Alkbh4
ENSG00000091542,0,0,1,1,0,231,0,0,0.00417954,0.006079331,0,0.796266998,11.4993575,3.740362442,3.240802025,1.154147157,NA,NA,ALKBH5,54890,alkB homolog 5,Alkbh5
ENSG00000137760,0,0,0,0,0,625,0,0,0,0,0,1.424939845,28.83846847,21.34944839,3.796475944,5.623491023,NA,NA,ALKBH8,91801,alkB homolog 8,Alkbh8
ENSG00000108839,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ALOX12,239,arachidonate 12-lipoxygenase,Alox12
ENSG00000179477,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ALOX12B,242,arachidonate 12-lipoxygenase,Alox12b
ENSG00000163283,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ALPP,250,alkaline phosphatase,Alpi
ENSG00000162551,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ALPL,249,alkaline phosphatase,Alpl
ENSG00000166825,0,0,0,0,1,0,0,0,0,0,0.002596069,0,0.03654868,-2.613322644,4.064761091,-0.642921585,0.520274983,NA,ANPEP,290,alanyl aminopeptidase,Anpep
ENSG00000132703,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,APCS,325,amyloid P component,Apcs
ENSG00000117362,0,0,0,2,369,0,0,0,0,0.009173339,0.940267254,0,13.61982706,5.432144373,3.414019418,1.591128728,NA,NA,APH1A,51107,aph-1 homolog A,Aph1a
ENSG00000138613,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,APH1B,83464,aph-1 homolog B,Aph1b
ENSG00000157500,221,1,0,0,0,79,0.646772379,0.002406292,0,0,0,0.176378753,273.0156809,-6.205853899,3.348855845,-1.853126616,NA,NA,APPL1,26060,adaptor protein,Appl1
ENSG00000136044,757,0,0,2,0,0,1.813614508,0,0,0.006446858,0,0,922.2884128,-12.81252289,3.602015611,-3.557042578,NA,NA,APPL2,55198,adaptor protein,Appl2
ENSG00000186635,0,2203,0,328,1,63,0,2.758718839,0,0.672119672,0.001138414,0.073198852,365.8919511,-3.782197969,3.050465252,-1.239875775,NA,NA,ARAP1,116985,ArfGAP with RhoGAP domain,Arap1
ENSG00000047365,4,0,0,218,774,1,0.006805776,0,0,0.499048992,0.984362691,0.001298009,47.74417438,3.215183256,2.860282597,1.124078879,0.260979564,0.401100329,ARAP2,116984,ArfGAP with RhoGAP domain,Arap2
ENSG00000120318,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ARAP3,64411,ArfGAP with RhoGAP domain,Arap3
ENSG00000153317,0,8,0,0,149,9,0,0.009594571,0,0,0.162453533,0.010014952,7.099617602,1.967392008,3.071748331,0.640479556,0.521860876,NA,ASAP1,50807,ArfGAP with SH3 domain,Asap1
ENSG00000151693,1,0,0,0,0,0,0.002222617,0,0,0,0,0,1.218170474,-4.953396542,4.035972323,-1.227311821,0.219705414,NA,ASAP2,8853,ArfGAP with SH3 domain,Asap2
ENSG00000088280,2032,0,0,2,0,0,4.956814339,0,0,0.006564142,0,0,2475.455767,-14.2353585,3.662292199,-3.887007844,NA,NA,ASAP3,55616,ArfGAP with SH3 domain,Asap3
ENSG00000129691,1,0,0,0,337,288,0.002342471,0,0,0,0.590066189,0.514667539,26.82384206,5.010693098,3.073989897,1.630029136,0.103095339,0.218679777,ASH2L,9070,ASH2 like,Ash2l
ENSG00000169696,0,0,1773,332,0,33,0,0,2.032483568,0.553584203,0,0.031199706,1395.92333,-5.858184305,3.435664256,-1.705109658,NA,NA,ASPSCR1,79058,ASPSCR1 tether for SLC2A4,Aspscr1
ENSG00000154438,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,ASZ1,136991,ankyrin repeat,Asz1
ENSG00000160862,0,0,199,182,0,6,0,0,0.932287553,1.24021076,0,0.023182823,166.4345075,-3.63368463,3.321512403,-1.093984965,NA,NA,AZGP1,563,alpha-2-glycoprotein 1,Azgp1
ENSG00000169255,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B3GALNT1,8706,beta-1,B3galnt1
ENSG00000162885,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B3GALNT2,148789,beta-1,B3galnt2
ENSG00000172318,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B3GALT1,8708,beta-1,B3galt1
ENSG00000162630,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B3GALT2,8707,beta-1,B3galt2
ENSG00000235863,0,162,0,0,0,0,0,1.568343049,0,0,0,0,25.08145288,-23.12651164,3.578062308,-6.463417806,NA,NA,B3GALT4,8705,beta-1,B3galt4
ENSG00000183778,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B3GALT5,10317,beta-1,B3galt5
ENSG00000176022,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B3GALT6,126792,beta-1,B3galt6
ENSG00000109956,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B3GAT1,27087,beta-1,B3gat1
ENSG00000112309,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B3GAT2,135152,beta-1,B3gat2
ENSG00000149541,16,1,0,157,330,0,0.080356345,0.004129423,0,1.060886387,1.238826991,0,42.17568722,0.215653624,2.902379564,0.074302351,0.940769807,0.965246849,B3GAT3,26229,beta-1,B3gat3
ENSG00000179913,3,201,2,558,2325,0,0.020563881,1.132841351,0.01268106,5.146204673,11.91251082,0,158.5062755,1.740043102,2.630809114,0.661409865,0.508349501,0.637369363,B3GNT3,10331,UDP-GlcNAc:betaGal beta-1,B3gnt3
ENSG00000176383,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B3GNT4,79369,UDP-GlcNAc:betaGal beta-1,B3gnt4
ENSG00000176597,0,246,0,122,0,546,0,0.357592147,0,0.290196731,0,0.736404245,71.41513863,-0.201445309,3.141149309,-0.064131084,0.948865852,0.970698542,B3GNT5,84002,UDP-GlcNAc:betaGal beta-1,B3gnt5
ENSG00000198488,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B3GNT6,192134,UDP-GlcNAc:betaGal beta-1,B3gnt6
ENSG00000156966,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B3GNT7,93010,UDP-GlcNAc:betaGal beta-1,B3gnt7
ENSG00000177191,0,0,0,0,205,2,0,0,0,0,1.834366564,0.018265254,7.584762596,4.588095547,3.414065487,1.343880357,NA,NA,B3GNT8,374907,UDP-GlcNAc:betaGal beta-1,B3gnt8
ENSG00000237172,0,0,0,0,0,1,0,0,0,0,0,0.007679923,0.04614155,-2.613322644,4.064761091,-0.642921585,0.520274983,NA,B3GNT9,84752,UDP-GlcNAc:betaGal beta-1,B3gnt9
ENSG00000175711,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B3GNTL1,146712,UDP-GlcNAc:betaGal beta-1,B3gntl1
ENSG00000135454,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B4GALNT1,2583,beta-1,B4galnt1
ENSG00000167080,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,B4GALNT2,124872,beta-1,B4galnt2
